,Lazy Greedy,Lazy nodes,Greedy,Greedy nodes,Optimal,Optimal nodes
0,1.5868443002760502e-16,None,1.5868443002760502e-16,None,1.5868443002760502e-16,None
1,1.7231461500838928e-16,5,1.1292833754422817e-16,0,1.1292833754422817e-16,[0]
2,1.4363197527862594e-16,0,7.451840284697122e-17,1,7.451840284697122e-17,"[0, 1]"
3,-3.794688385135142e-17,4,-5.265931176312311e-17,2,-5.265931176312311e-17,"[0, 1, 2]"
4,-4.4009536878903274e-17,6,1.2682090844306553e-16,3,1.2682090844306553e-16,"[0, 1, 2, 3]"
5,-2.0877374763651792e-17,7,-8.159421337849344e-17,4,-8.159421337849344e-17,"[0, 1, 2, 3, 4]"
6,-7.241860686744207e-18,3,-2.589955459284873e-16,5,-2.589955459284873e-16,"[0, 1, 2, 3, 4, 5]"
7,-5.93502785458884e-17,1,5.091285404491106e-17,6,5.091285404491106e-17,"[0, 1, 2, 3, 4, 5, 6]"
8,-3.5275857871462493e-17,2,-3.5275857871462493e-17,7,-3.5275857871462493e-17,"[0, 1, 2, 3, 4, 5, 6, 7]"
