,High Degree,High Degree nodes,Centrality,Centrality nodes,Temparature,Temperature nodes,Random,Random nodes,Low Degree,Low degree nodes,Vertex Cover,Vertex Cover nodes
0,0.0417,4,0.0457,4,0.0445,4,0.0354,19,0.0295,15,0.0488,4
1,0.0806,0,0.0725,1,0.0616,3,0.0644,5,0.0361,18,0.0738,0
2,0.1043,1,0.0937,3,0.0924,14,0.0809,26,0.0492,20,0.0983,1
3,0.117,3,0.1206,0,0.1149,13,0.0863,40,0.0613,21,0.1249,14
4,0.1458,6,0.1413,14,0.1395,28,0.1047,22,0.0621,23,0.1509,6
5,0.17,14,0.1595,6,0.1574,0,0.1278,3,0.0824,31,0.1656,7
6,0.1785,7,0.1811,13,0.1762,1,0.1454,39,0.0916,32,0.1864,3
7,0.1937,13,0.1961,5,0.1958,2,0.1502,42,0.0985,33,0.1928,13
8,0.219,5,0.2143,7,0.2061,6,0.1694,2,0.1069,34,0.2209,5
9,0.2342,8,0.2288,19,0.2252,11,0.1903,7,0.1251,35,0.22983333333333333,28
10,0.2495,9,0.2436,9,0.2423,7,0.1998,17,0.1369,37,0.2409,11
11,0.2565,19,0.24361649279682066,12,0.253,5,0.2207,36,0.1396,38,0.255,19
12,0.2681,28,0.257,28,0.2699,9,0.2207394048692516,48,0.1556,39,0.2654,9
13,0.2869,11,0.2762,8,0.2789,25,0.2239,10,0.1657,40,0.2818,12
14,0.2873,12,0.2903,29,0.2877,43,0.2279,8,0.1693,41,0.2885,25
15,0.2998,29,0.3056,11,0.3001,12,0.2488,35,0.1813,42,0.3013,29
16,0.312,22,0.3069,24,0.3032,8,0.2606,43,0.1879,44,0.3138,43
17,0.3223,24,0.3175,25,0.3192,19,0.26061332534212367,41,0.1989,45,0.3234,22
18,0.3308,25,0.3396,43,0.3276,24,0.2745,16,0.2025,46,0.3339,31
19,0.3485,43,0.3407,30,0.3447,29,0.297,29,0.206,47,0.3363,8
20,0.3586666666666667,2,0.3539,26,0.3548,22,0.3035,11,0.2209,48,0.3455,16
21,0.3592,10,0.3571,22,0.364,36,0.3173,13,0.229,49,0.3583,17
22,0.364,16,0.3685,27,0.3656,27,0.3174,46,0.2442,2,0.3683,24
23,0.3762,17,0.3734,36,0.3732,31,0.3305,6,0.24636666666666668,10,0.3731,30
24,0.3792,26,0.3905,2,0.386,17,0.3475,37,0.2542,16,0.3892,36
25,0.3908,27,0.3919666666666667,16,0.3918,16,0.3543,4,0.2675,17,0.3901,2
26,0.3917,30,0.3963,17,0.3985,26,0.3668,14,0.2791,26,0.3952333333333333,10
27,0.4036,36,0.4017,10,0.40603333333333336,34,0.3879,1,0.2848,27,0.3991,15
28,0.4056666666666667,15,0.4120666666666667,18,0.4138,40,0.3927,30,0.2991,30,0.4021,18
29,0.4159,18,0.4172,33,0.4138003946997463,37,0.3965,47,0.2992,36,0.4196,20
30,0.42123333333333335,20,0.42,44,0.4139,30,0.3967,0,0.3177,22,0.4108,21
31,0.428,21,0.4324,48,0.4313,10,0.4075,32,0.3314,24,0.4284,23
32,0.4306,23,0.4357,46,0.4343,35,0.4123,38,0.3426,25,0.4327,26
33,0.4364,31,0.4391,37,0.4385,23,0.4203,49,0.3598,43,0.43270260621206713,27
34,0.44426666666666664,32,0.4409,42,0.4515,48,0.4256,15,0.3651,11,0.4365,32
35,0.4442559137638487,33,0.4519,23,0.4628,18,0.4388,25,0.3785,12,0.4523,33
36,0.453,34,0.4558,47,0.4635,39,0.4456,24,0.3917,29,0.45826666666666666,34
37,0.4642,35,0.4594,39,0.4635064684301989,47,0.4454666666666667,27,0.4009,8,0.4582263480150109,35
38,0.46926666666666667,37,0.474,35,0.4672,45,0.4557,21,0.4069,9,0.4706,37
39,0.4759,38,0.48,45,0.4764,49,0.4621,31,0.4265,19,0.4715,38
40,0.47590264345583494,39,0.4846,34,0.4815,33,0.463,18,0.4426,28,0.4802,39
41,0.47590481903619275,40,0.4901,31,0.4924,46,0.4757,23,0.4443,5,0.48020118154239183,40
42,0.4904,41,0.4968,40,0.49373333333333336,42,0.4775,34,0.4518,7,0.4851,41
43,0.4972,42,0.4986,21,0.4985,32,0.4874,9,0.4635,13,0.489,42
44,0.4985,44,0.5023,49,0.4987,44,0.49646666666666667,28,0.4738,3,0.5003,44
45,0.5044,45,0.5062333333333333,38,0.5054,38,0.4986,20,0.4826,6,0.5059,45
46,0.505,46,0.5126,15,0.5124,41,0.5073,33,0.4951,14,0.5103666666666666,46
47,0.5126,47,0.5166,20,0.5119666666666667,21,0.5096,12,0.5012,0,0.5103574288119239,47
48,0.5177,48,0.5151333333333333,32,0.5193,15,0.5146,45,0.5078,1,0.52,48
49,0.5268,49,0.5151187904967602,41,0.5219,20,0.5257,44,0.5152,4,0.5303,49
