,Vertex Cover,Vertex Cover nodes
0,0.0355,25
1,0.0446,26
2,0.0465,24
3,0.0508,22
4,0.0561,23
5,0.0609,20
6,0.0671,29
7,0.074,27
8,0.07666666666666666,21
9,0.0815,28
10,0.0828,18
11,0.0876,19
12,0.0914,30
13,0.0948,31
14,0.0979,0
15,0.1044,1
16,0.1169,2
17,0.11692999895364654,3
18,0.1246,4
19,0.1264,5
20,0.1326,6
21,0.13260989516277358,7
22,0.1326384240221861,8
23,0.1402,9
24,0.1423,10
25,0.1488,11
26,0.1575,12
27,0.162,13
28,0.1679,14
29,0.16673333333333334,15
30,0.1736,16
31,0.1736027021859665,17
